"Comment","Designator","Footprint","LCSC Part"
"","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32","0603-BLUE","C2290"
"","SW1, SW2","ROTARY_ENC_PLAIN",""
"100","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35","R0402","C25076"
"100n","C1, C2, C3, C4","C0402","C1525"
"2mm","H1, H2, H3, H4, H5, H6, H7, H8","2,0-PAD",""
"4k7","R17, R18, R19, R36, R37, R38","R0402","C25900"
"ATTINY2313A","U1, U4","QFN50P400X400X80-21T260N","C185530"
"AW9523B","U2, U3","QFN50P400X400X80-25T270N","C148077"
"ICSP","J3, J6","MINI-ISP-LABELS",""
"JUMPER-SMT_3_1-NC_TRACE_SILK","JP1, JP3","SMT-JUMPER_3_1-NC_TRACE_SILK",""
"MODE","JP2, JP4","SMT-JUMPER_3_NO_SILK",""
"OUT","J1, J4","JST-4-PTH-VERT",""
"POWER","J2, J5","JST-2-PTH-VERT",""
