"Qty";"Value";"Device";"Package";"Parts";"Description";"LCSC";"POPULARITY";"SPICEPREFIX";
"32";"";"LED-BLUE0603";"0603-BLUE";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32";"";"C2290";"";"";
"2";"";"ROTARTY_ENCODER";"ROTARY_ENC_PLAIN";"SW1, SW2";"Simple no LED rotary encoder";"";"";"";
"32";"100";"R-EU_R0402";"R0402";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35";"RESISTOR, European symbol";"C25076";"0";"R";
"4";"100n";"C-EUC0402";"C0402";"C1, C2, C3, C4";"CAPACITOR, European symbol";"C1525";"18";"C";
"8";"2mm";"MOUNT-PAD2MM";"2,0-PAD";"H1, H2, H3, H4, H5, H6, H7, H8";"";"";"";"";
"6";"4k7";"R-EU_R0402";"R0402";"R17, R18, R19, R36, R37, R38";"RESISTOR, European symbol";"C25900";"0";"R";
"2";"ATTINY2313A";"ATTINY2313A";"QFN50P400X400X80-21T260N";"U1, U4";"";"C185530";"";"";
"2";"AW9523B";"AW9523B";"QFN50P400X400X80-25T270N";"U2, U3";"";"C148077";"";"";
"2";"ICSP";"MINI-ISP-LABELS";"MINI-ISP-LABELS";"J3, J6";"";"";"";"";
"2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"JP1, JP3";"Normally closed trace jumper (1 of 2 connections)";"";"";"";
"2";"MODE";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"JP2, JP4";"Normally open jumper";"";"";"";
"2";"OUT";"JST-XH4";"JST-4-PTH-VERT";"J1, J4";"";"";"";"";
"2";"POWER";"JST-XH2";"JST-2-PTH-VERT";"J2, J5";"";"";"";"";
